No.,꽃 이름,꽃말,특징,플로리스트 노트,시즌
1,콜롬비아 장미,사랑; 기쁨,송이가 크고 화형이 단단함,수입 장미는 국산보다 얼굴이 훨씬 커서 메인 꽃으로 쓰기 정말 좋아요.,봄 여름 가을 겨울
2,글로리아 장미,기쁨,화려한 그라데이션,꽃잎 끝의 색감이 오묘하게 변하는 빈티지 장미의 대표 주자예요.,봄 여름 가을 겨울
3,스프레이 카네이션,순수한 사랑,작은 송이가 여러 개,한 줄기에 여러 송이의 작은 카네이션이 달려 있어 필러 소재로 쓰기 좋아요.,봄 여름 가을 겨울
4,공조팝,노력,동글동글 뭉쳐 피는 꽃,조팝나무보다 꽃송이가 뭉쳐 있어서 더 볼륨감이 느껴져요.,봄 여름
5,냉이초,모든 것을 드림,들꽃 느낌의 필러 소재,자연스러운 가든 스타일 디자인을 할 때 공기감을 불어넣어 주는 필수 소재예요.,봄
6,아미초,우아한 자태,레이스 같은 화형,레이스처럼 섬세하고 가벼운 화형이 특징이에요.,봄 여름
7,별소국,굳은 마음,작고 단단한 소국,꽃잎이 단단해서 수명이 정말 길어요.,가을 겨울
8,설유화,애교,가늘고 긴 라인 소재,나뭇가지에 팝콘 같은 하얀 꽃이 피어서 곡선 라인을 살리기에 너무 좋아요.,봄 겨울
9,금어초,욕망,수직으로 뻗은 형태,위로 길게 뻗는 형태라 높이감이 있는 화병 꽂이나 행사 장식에 필수예요.,봄 여름 가을 겨울
10,글라디올러스,밀회,키가 크고 화려함,꽃송이가 큼직하고 키가 아주 커서 대형 장식이나 제단 장식에 주로 써요.,여름 가을
11,목수국,냉정,나무 형태의 수국,일반 수국보다 줄기가 단단하고 나무 같은 느낌이에요.,여름 가을
12,등골나물,주저,몽글몽글한 질감,가을 느낌을 물씬 풍기는 소재예요.,가을
13,심비디움,화려함,고급 서양란,겨울에 주로 나오는 고급스러운 난 종류예요.,겨울
14,반다,애정의 표시,보라색 체크무늬,보라색 체크무늬가 있는 수입 난인데 존재감이 정말 압도적이에요.,봄 여름 가을 겨울
