번호,이름,꽃말,특징,리뷰,봄,여름,가을,겨울,사진수,사진파일,사진존재여부
1,자나 장미,끝없는 사랑; 행복한 사랑,분홍빛의 빈티지한 작은 송이들이 모여 있는 스프레이 장미,옥시랑 다음으로 자주 구매해요. 색감이 정말 예뻐서 신부들이 자주 선택하고 보관도 쉬워요.,O,O,O,O,4,자나1~4.jpg,Y
2,콜롬비아 장미,사랑; 기쁨,송이가 크고 화형이 단단함,수입 장미는 국산보다 얼굴이 훨씬 커서 메인 꽃으로 쓰기 정말 좋아요.,O,O,O,O,0,,N
3,글로리아 장미,기쁨,화려한 그라데이션,꽃잎 끝의 색감이 오묘하게 변하는 빈티지 장미의 대표 주자예요.,O,O,O,O,0,,N
4,리시안셔스,변치 않는 사랑,꽃잎이 하늘거리고 연함,꽃시장의 진정한 효자 아이템이에요. 어느 꽃과 섞어도 자연스럽게 어울려요.,O,O,O,O,3,리시안셔스1~3.jpg,Y
5,라넌큘러스,매력; 매혹,겹겹이 쌓인 꽃잎,겨울부터 봄까지 꽃집의 주인공이죠. 겹겹이 쌓인 꽃잎이 피어날 때 정말 환상적이에요.,O,O,,O,5,라넌큘러스1.png/라넌큘러스2~5.jpg,Y
6,거베라,신비; 수수께끼,화려한 색감; 직선 줄기,요즘은 실처럼 가느다란 파스타 거베라가 정말 유행이에요.,O,O,,,2,거베라3~4.jpg,Y
7,카네이션,모정; 사랑,화형이 오래가고 단단함,어버이날뿐만 아니라 평소에도 필러 소재로 자주 구매해요.,O,O,O,O,3,카네이션1~3.jpg,Y
8,스프레이 카네이션,순수한 사랑,작은 송이가 여러 개,한 줄기에 여러 송이의 작은 카네이션이 달려 있어 필러 소재로 쓰기 좋아요.,O,O,O,O,0,,N
9,아네모네,기대; 기다림,중앙 검은 심지가 매력적,봄 시즌에만 볼 수 있는 독특한 분위기의 꽃이에요.,O,,,,2,아네모네1~2.jpg,Y
10,다알리아,당신의 사랑이 행복,얼굴이 크고 기하학적 화형,가을 웨딩 부케에서 빼놓을 수 없는 주인공이죠.,,,O,O,3,다알리아.jpg/다알리아1~2.jpg,Y
11,수국,진심; 변덕,볼륨감이 엄청난 매스 플라워,여름 행사나 선물용 꽃다발에 볼륨감을 줄 때 이만한 꽃이 없어요.,,O,O,,5,수국1~5.jpg,Y
12,델피늄,당신을 행복하게,독보적인 파스텔톤 하늘색,자연스러운 하늘색을 내고 싶을 때 대체할 꽃이 없어서 꼭 구매해요.,O,O,,,2,델피니움1~2.jpg,Y
13,작약,수줍음; 부끄러움,꽃의 여왕; 개화 전후 극적임,봄과 초여름 사이 아주 짧게 만날 수 있는 귀한 꽃이죠.,O,O,,,4,작약1~4.jpg,Y
14,헬레보루스,불안 진정,고급스럽고 차분한 빈티지 톤,가격대가 조금 높은 편이지만 특유의 빈티지하고 차분한 색감 때문에 포기할 수 없어요.,O,,,,3,헬레보루스1~3.jpg,Y
15,카라,순수; 열정,매끈하고 우아한 곡선미,신부님들의 부케 선호도 1순위 꽃이에요.,O,O,O,O,2,카라1~2.jpg,Y
16,백합,순결,향이 강하고 큼,존재감이 압도적이고 향기가 정말 멀리까지 퍼져요.,O,O,O,O,2,백합1~2.jpg,Y
17,튤립,사랑의 고백,심플하고 세련된 형태,봄이면 모든 사람이 찾는 꽃이죠.,O,,,,3,튤립1~3.jpg,Y
18,프리지아,당신의 시작 응원,진한 향기,졸업과 입학 시즌의 상징 같은 꽃이에요.,O,,,,2,프리지아1~2.jpg,Y
19,라그라스,당신의 친절,보들보들한 질감,강아지풀을 닮아서 너무 귀여워요.,O,O,O,O,2,라그라스1~2.jpg,Y
20,안개꽃,맑은 마음,사계절 필수 필러 소재,요즘은 염색 안개꽃도 다양해서 활용도가 정말 높아요.,O,O,O,O,4,안개1~4.jpg,Y
21,왁스플라워,변하지 않는 사랑,잎에서 상큼한 향기 남,꽃잎이 왁스를 칠한 듯 매끈하고 탄탄해서 내구성이 정말 좋아요.,O,O,O,O,3,왁스플라워1~3.jpg,Y
22,스토크,영원한 아름다움,향기 진하고 볼륨감 좋음,가성비 있게 풍성한 느낌을 내고 싶을 때 자주 구매해요.,O,,,O,4,스토크1~4.jpg,Y
23,매트리칼리아,인내,작은 계란꽃 모양,들꽃 같은 자연스러운 무드를 낼 때 필수적인 아이예요.,O,O,,,1,마트리카리아1.jpg,Y
24,아스틸베,기약 없는 사랑,깃털 같은 질감,보들보들한 깃털 같은 질감이 포인트 소재로 최고예요.,O,O,,,2,아스틸베1~2.jpg,Y
25,스카비오사,이루어질 수 없는 사랑,하늘거리는 춤추는 줄기,줄기가 아주 얇고 자유롭게 휘어 있어서 리듬감을 줄 때 자주 써요.,O,O,O,O,2,스카비오사1~2.jpg,Y
26,미모사,부끄러움,노란 구슬 같은 형태,봄이 오면 꽃시장에서 가장 먼저 찾는 소재 중 하나예요.,O,,,,3,미모사1~3.jpg,Y
27,조팝나무,선언,하얀 꽃눈 같은 라인,봄에만 만날 수 있는 하얀 눈꽃 같은 소재예요.,O,,,,1,조팝나무1.jpg,Y
28,공조팝,노력,동글동글 뭉쳐 피는 꽃,조팝나무보다 꽃송이가 뭉쳐 있어서 더 볼륨감이 느껴져요.,O,O,,,0,,N
29,냉이초,모든 것을 드림,들꽃 느낌의 필러 소재,자연스러운 가든 스타일 디자인을 할 때 공기감을 불어넣어 주는 필수 소재예요.,O,,,,0,,N
30,아미초,우아한 자태,레이스 같은 화형,레이스처럼 섬세하고 가벼운 화형이 특징이에요.,O,O,,,0,,N
31,옥시펜탈륨,날카로운 자태,파란색 작은 꽃; 진 나옴,푸른색 꽃이 드문데 옥시는 색감이 정말 예뻐서 포인트로 자주 구매해요.,O,O,O,O,3,옥시페탈리움1~3.jpg,Y
32,별소국,굳은 마음,작고 단단한 소국,꽃잎이 단단해서 수명이 정말 길어요.,,,O,O,0,,N
33,설유화,애교,가늘고 긴 라인 소재,나뭇가지에 팝콘 같은 하얀 꽃이 피어서 곡선 라인을 살리기에 너무 좋아요.,O,,,O,0,,N
34,금어초,욕망,수직으로 뻗은 형태,위로 길게 뻗는 형태라 높이감이 있는 화병 꽂이나 행사 장식에 필수예요.,O,O,O,O,0,,N
35,글라디올러스,밀회,키가 크고 화려함,꽃송이가 큼직하고 키가 아주 커서 대형 장식이나 제단 장식에 주로 써요.,,O,O,,0,,N
36,목수국,냉정,나무 형태의 수국,일반 수국보다 줄기가 단단하고 나무 같은 느낌이에요.,,O,O,,0,,N
37,등골나물,주저,몽글몽글한 질감,가을 느낌을 물씬 풍기는 소재예요.,,,O,,0,,N
38,심비디움,화려함,고급 서양란,겨울에 주로 나오는 고급스러운 난 종류예요.,,,,O,0,,N
39,반다,애정의 표시,보라색 체크무늬,보라색 체크무늬가 있는 수입 난인데 존재감이 정말 압도적이에요.,O,O,O,O,0,,Y
40,루피너스,모성애,꼬깔 모양 솟은 꽃,독특한 꼬깔 모양 덕분에 작품에 위트를 줄 수 있는 꽃이에요.,O,,,,0,,N
41,블랙잭,추억,향이 강한 대표 그린,유칼립투스 중에서 가장 대중적이고 향이 진해요.,O,O,O,O,0,,N
42,파블로,은혜,부드러운 잎사귀,블랙잭보다 잎이 작고 부드러워서 좀 더 네츄럴한 느낌을 줄 수 있어요.,O,O,O,O,0,,N
43,구니,자애,은색 빛 도는 잎,은은한 은빛이 도는 세련된 색감 때문에 인기가 많아요.,O,O,O,O,0,,N
44,폴리안,위로,넓은 잎사귀,잎이 큼직해서 커다란 꽃바구니나 행사장 베이스를 잡을 때 아주 유용해요.,O,O,O,O,0,,N
45,루스커스,영원한 결혼,물 없이도 오래 버팀,물 없이도 며칠은 거뜬할 정도로 생명력이 정말 강해요.,O,O,O,O,0,,N
46,레몬잎,신선함,반짝이는 잎,잎사귀가 단단하고 반짝여서 꽃다발의 뒷면을 받쳐주기에 가장 좋아요.,O,O,O,O,0,,N
47,말채,굳은 마음,색감 있는 줄기,겨울에 빨갛거나 노랗게 물든 줄기를 구조물로 짜서 사용해요.,,,,O,0,,N
48,해바라기,기다림,밝고 큰 화형,여름 하면 가장 먼저 생각나는 꽃이죠.,,O,,,5,해바라기1~5.jpg,Y
49,코스모스,순정,하늘거리는 줄기,가을 꽃바구니를 만들 때 코스모스 몇 송이만 넣어도 계절감이 확 살아나요.,,,O,,1,코스모스1.jpg,Y
50,금란,고귀,노란 빛의 난,노란빛이 도는 우아한 난으로 어른들 선물이나 명절 꽃꽂이에 필수예요.,O,O,O,O,0,,N
51,천일홍,변치 않는 사랑,드라이하기 좋음,이름처럼 꽃 모양이 오랫동안 변하지 않아서 드라이플라워용으로 최고예요.,,O,O,,0,,N
52,스타티스,영구불멸,종이 질감의 꽃,꽃잎이 바스락거리는 종이 질감이라 마른 후에도 색감이 그대로 유지돼요.,O,O,O,O,1,스타티스1.jpg,Y
53,장구채,동심,가늘고 긴 포인트 소재,가느다란 줄기 끝에 작은 꽃들이 달려 있어서 리듬감을 주기 정말 좋아요.,O,O,,,0,,N
54,등대풀,수줍음,독특한 그린 필러,그린 소재지만 꽃 같은 독특한 형태를 가지고 있어요.,O,,,,0,,N
55,용담초,슬픈 그대가 좋아,보라색 종 모양 꽃,선명한 보라색 종 모양 꽃이 줄기를 따라 피어 있어요.,,,O,,0,,N
56,과꽃,믿음직한 사랑,소담한 화형,예전 마당에서 보던 정겨운 느낌의 꽃이에요.,,,O,,1,과꽃1.jpg,Y
